Pure ;101;101;1;1
Luster ;131;131;3;1
Mood Daisy ;201;201;2;2
Honey ;204;204;3;2
Flower Bud ;207;207;2;2
Snail ;231;231;3;2
Blackbird ;251;251;9;2
Bilberry 252 (B)ÿ;252;252;9;3
Dew ;306;306;2;3
White Currant 328;328;328;3;3
Aura ;1069;1069;1;1
Lucent ;1070;1070;3;1
Bright ;1071;1071;3;1
Pebble Steam ;1454;1454;3;2
Pollen ;1455;1455;3;2
Lily ;1456;1456;2;2
Moss ;1457;1457;4;1
Bark ;1458;1458;8;1
Nut ;1459;1459;8;1
Gleam ;1460;1460;3;2
Crepuscule ;1461;1461;4;2
Penumbra ;1462;1462;8;2
Pond ;2563;2563;9;4
Petal ;2565;2565;2;4
