Arno ;4816;4816;9;4
Aspromonte ;4807;4807;8;3
Cervino ;4810;4810;3;3
Monte Rosa ;4808;4808;3;3
Monte Bianco ;4809;4809;4;3
Stelvio ;4811;4811;6;4
Elba ;4812;4812;8;4
Stromboli;4813;4813;8;4
Vulcano ;4814;4814;9;4
Tevere ;4815;4815;9;4
Greenish White ;701;701;1;1
Mud Cocoaÿ;702;702;2;1
Sorrento ;748;748;3;2
Sanremo ;749;749;3;2
Taormina ;772;772;8;3
Milano ;773;773;2;3
Palermo ;935;935;3;2
Amalfi ;937;937;2;2
Etna ;944;944;9;2
Siena ;961;961;3;2
Portofino ;963;963;3;3
Bellagio ;964;964;2;2
Murano ;4212;4212;3;2
Capri ;4800;4800;8;3
Carrara;4805;4805;2;3
Cortina ;4301;4301;2;2
Ischia ;4806;4806;8;2
Siracusa ;4300;4300;3;2
Pompei ;4801;4801;4;3
Vesuvio ;4802;4802;9;3
Ravenna ;4803;4803;3;2
Padova ;4804;4804;3;2
