Corian Deep Bedrock;cor068;DBI_Corian_Deep_Bedrock;8;3
Corian Deep Mink;cor069;DBI_Corian_Deep_Mink;8;2
Corian Deep Sable;cor070;DBI_Corian_Deep_Sable;8;1
Corian Deep Storm;cor071;DBI_Corian_Deep_Storm;8;3
Corian Deep Caviar;cor072;DBI_Corian_Deep_Caviar;8;2
Corian Deep Espresso;cor073;DBI_Corian_Deep_Espresso;8;1
Corian Deep Anthracite;cor074;CorianEC_Deep_Anthracite;9;2
Corian Deep Black Quartz;cor075;CorianEC_Deep_Black_Quartz;9;2
Corian Deep Night Sky;cor076;CorianEC_Deep_Night_Sky;9;2
Corian Deep Nocturne;cor077;CorianEC_Deep_Nocturne;9;1
Corian Deep Cloud;cor078;DuPont-Corian-Deep-Cloud;9;1
Corian Deep Titanium;cor079;DuPont-Corian-Deep-Titanium;9;1
