Staron Dazzling White;SD001;Dazzling-White;1;1
Staron Cool Mint;sta002;Cool-Mint;6;1
Staron Powder Blue;SP063;Powder-Blue-SP063;5;1
Staron Blonde;SB043;Blonde-SB043;6;1
Staron Sunflower;SS042;Sunflower (N);7;1
Staron California Poppy;SC052;California Poppy (N);7;1
Staron Univers;SU053;Univers (N);7;1
Staron Mist;SM022;Mist_SM022;5;1
Staron Placid;SP062;Placid_SP062;5;1
Staron Bliss;SB022;Bliss_SB022;4;1
Staron Serene;SS023;Serene_SS023;4;1
Staron Steel;ST023;Steel-ST023;4;1
Staron Eggplant;SV037;Eggplant_SV037;8;1
Staron Iris;SI056;Iris_SI056;8;1
Staron Onyx;ON095;Onyx-ON095;9;1
