Staron Tempest Polar;FP111;Polar-FP111;2;3
Staron Tempest Pinnacle;FP112;Pinnacle-FP112;2;4
Staron Tempest Meteor;FM111;Meteor-FM111;2;3
Staron Tempest Peak;FP100;Peak-FP100;2;4
Silvercloud;FS122;Tempest-Silvercloud-FS122;4;4
Staron Tempest Genesis;FG174;Genesis-FG174;3;3
Staron Tempest Rattan;FR124;Rattan-FR124;3;4
Staron Tempest Spearmint;FS164;Spearmint-FS164;6;4
Staron Tempest Paprika;FP136;Paprika-FP136;7;4
Staron Tempest Zenith;FZ184;Zenith-FZ184;4;4
Staron Tempest Caviar;FC188;Caviar-FC188;5;4
Staron Tempest Gold Leaf;FG196;Gold-Leaf-FG196;8;4
Staron Tempest Dazzle;FD191;Dazzle-FD191;5;4
Staron Tempest Adamantine;FA159;Adamantine-FA159;8;3
Staron Tempest Coffee Bean;FC158;Coffee-Bean-FC158;8;3
Staron Tempest Blaze;FB147;Blaze-FB147;8;4
Staron Tempest Radiance (Shimmer);FR148;Shimmer--FR148;8;4
Staron Tempest Starfire;FS198;Starfire-FS198;9;3
Staron Tempest Horizon;FH114;­¥â;3;3
Staron Tempest Confection;FC116;­¥â;2;3
Staron Tempest Prairie;FP142;­¥â;3;3
Staron Tempest Glimmer;FG144;­¥â;3;3
Staron Tempest Gleam;FG146;­¥â;4;4
Staron Tempest Whippoofwill;FW145;­¥â;4;4
Staron Tempest Spice;FS137;­¥â;7;3
Staron Tempest Cinnamon;FC153;­¥â;3;4
Staron Tempest Shallot;FS157;­¥â;3;3
Staron Tempest Igneous;FI187;­¥â;4;3
Staron Tempest Constellation;FC197;­¥â;9;3
