Staron Sanded Icicle;SI414;Sanded-Icicle-SI414;2;2
Staron Sanded Birch;SB412;Sanded Birch_SB412;2;2
Staron Sanded Stratus;SS418;Sanded-Stratus-SS418;2;2
Staron Sanded White Pepper;WP410;Sanded-White-Pepper-WP410;4;2
Staron Sanded Cream;SM421;Sanded-Cream-SM421;2;2
Staron Sanded Sahara;SS440;Sanded-Sahara-SS440;3;2
Staron Sanded Gold Dust;SG441;Sanded-Gold-Dust-SG441;3;2
Staron Sanded Cornmeal;SC433;Sanded-Cornmeal-SC433;3;2
Staron Sanded Papyrus;SP474;Sanded-Papyrus-SP474;6;2
Staron Sanded Oatmeal;SO446;Sanded-Oatmeal-SO446;3;2
Staron Sanded Heron;SH428;NEU_Sanded-Heron-SH428--Large-;4;2
Staron Sanded Vermillion;SV430;Sanded-Vermillion-SV430;3;2
Staron Sanded Grey;SG420;Sanded-Grey-SG420;4;2
Staron Sanded Tundra;ST482;NEU_Sanded-Tundra-ST482--Large-;4;2
Staron Sanded Mocha;SM453;SandedMocha-SM453;8;2
Staron Sanded Clay;SC475;NEU_Sanded-Clay_SC475;4;2
Staron Sanded Dark Nebula;DN421;Sanded-Dark-Nebula-DN421;4;2
Staron Sanded Onyx;SO423;Sanded-Onyx-SO423;9;2
Staron Sanded Pine;SP462;нет;6;2
Staron Sanded Seafoam;SS471;нет;5;2
Staron Sanded Chestnut;SC457;нет;4;2
