Corian ClamShell;cor036;ClamShell;3;4
Corian Aztec Gold;cor037;Corian_Aztec_Gold;7;4
Corian Juniper;cor038;Corian_Juniper;4;4
Corian Burled Beach;cor039;Corian_Burled_Beach;3;4
Corian Sagebrush;cor040;Corian_Sagebrush;3;4
Corian Rosemary;cor041;Corian_Rosemary;6;4
Corian Sonora;cor042;Corian_Sonora; ;4
Corian Arrowroot;cor043;Arrowroot;4;4
Corian Lava Rock;cor044;Corian_Lava_Rock;4;4
Corian_Tumbleweed;cor045;Corian_Tumbleweed;3;4
Corian Rain Cloud;cor046;Corian_Rain_Cloud;2;4
Corian Ecru;cor047;Corian_Ecru;3;4
Corian Hazelnut;cor048;Corian_Hazelnut;3;4
Corian Sandalwood;cor049;Corian_Sandalwood;3;4
Corian Sorrel;cor050;Corian_Sorrel;8;4
Corian Witch  Hazel;cor051;Corian_Witch_Hazel;3;4
