Corian Designer White;cor008;Corian_Designer_White;1;1
Corian Glacier White;cor009;Corian_Glacier_White;1;1
Corian Cameo White;cor010;Corian_Cameo_White;1;1
Corian Bisque;cor011;Bisque;3;1
Corian Bone;cor012;Bone;3;1
Corian Vanilla;cor013;Vanilla;3;1
Corian Clay;cor014;Clay;3;1
Corian Light Ash;cor015;Corian_Light_Ash;1;1
Corian Pearl Gray;cor016;Corian_Pearl_Gray;4;1
Corian Elegant Gray;cor017;ElegantGray;4;1
Corian Athena Gray;cor018;AthenaGray;4;1
Corian Silver Gray;cor019;SilverGray;4;1
