Corian Sand;cor080;Corian_Sand;3;1
Corian Imperial Yellow;cor081;ImperialYellow;7;1
Corian Citrus Orange;cor082;CitrusOrange;7;1
Corian Hot;cor083;Corian_Hot;7;1
Corian Royal Red;cor084;RoyalRed;7;1
Corian Ethereal Azure;cor085;EtherealAzure;5;1
Corian Diamond Blue;cor086;DiamondBlue;5;1
Corian Seagrass;cor087;Corian_Seagrass;6;1
Corian Grape Green;cor088;grape-green;6;1
Corian Blomming Green;cor089;BlommingGreen;6;1
Corian Distinct Tan;cor090;DistinctTan;8;1
Corian Chic Aubergine;cor091;ChicAubergine;8;1
