Breeze ;M306;m-306;1;2
Mist ;M307;m-307;1;2
Milan ;M351;m-351;1;4
Vernazza ;M352;m-352;4;3
Bologna ;M103;m-103;3;3
Savona ;M309;m-309;4;4
Terni ;M201;m-201;4;4
Roma ;M104;m-104;4;4
Lucca ;M203;m-203;4;4
Modena ;M305;m-305;8;4
Veladero ;M401;m-401;4;2
Verona ;M105;m-105;8;4
Pisa ;M207;m-207;8;4
Siena ;M301;m-301;4;4
Pompei ;M302;m-302;4;4
Capri ;M303;m-303;8;4
Parma ;M205;m-205;8;4
Messina ;M411;m-411;4;4
Foggia ;M412;m-412;4;3
Bari ;M304;m-304;8;2
Pantheon ;M322;m-322;4;2
Colosseum ;M323;m-323;4;2
Goldstrike ;M402;m-402;8;2
Cortez ;M403;m-403;4;2
Monza ;M206;m-206;9;4
